,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ID1,31.437275362808574,-2.2132079609160615,0.3929695285619998,-5.632009100081861,1.781222822089129e-08,0.00018683246180892875
CCR1,14.698698941243292,2.0153231938893876,0.3747636839095918,5.377584009382204,7.549199124758711e-08,0.00022664157213887754
CD38,58.48180065962393,2.886743638734252,0.5392594882408469,5.35316244161282,8.643019244499095e-08,0.00022664157213887754
LMNA,379.1536505946265,-2.3687358327832353,0.44022651591942336,-5.380720486216227,7.418831084174683e-08,0.00022664157213887754
IFI27,180.67229265184912,3.0326574116994696,0.5957068757365617,5.090855142388177,3.5645227098928405e-07,0.0007477655740813202
ACRC,10.112749317394837,-2.400801204345137,0.48125102047048035,-4.988667248950594,6.079726323812213e-07,0.0010628374901744384
ZBTB10,18.559725822676103,-2.5505521009944916,0.5189916070187975,-4.914438049673725,8.903747300521249e-07,0.0013341629347881055
ELL2,58.35647505227045,-1.7892915698015213,0.3849975962505215,-4.647539587850343,3.359176408888708e-06,0.004404300169104207
C4orf32,10.01337737369457,-2.143766242198413,0.4698605926352359,-4.562558077439515,5.053410856065941e-06,0.005889469607697294
ETV7,23.59324721143472,2.0805415400188094,0.47271072693763483,4.401299614030754,1.0760441671564489e-05,0.011286627269303993
SNAI1,6.5047391176907485,-1.8930299230840428,0.4350833907643348,-4.350958835175146,1.3554349991350974e-05,0.01292468882357094
SLC2A8,22.1018885927474,1.805632746559963,0.41977684674011306,4.3014110010642,1.6971393803278663e-05,0.014834412466882493
NETO2,3.952373661826286,-2.8835536197704505,0.6813682816045783,-4.232004479251467,2.3161779494453475e-05,0.0186879927013325
MX1,159.74202747842173,1.6196492683369599,0.38686444950867843,4.186606627706242,2.8315594290369766e-05,0.021214447750834888
UBL3,48.311470676938875,-1.0543144215052127,0.2548699160429116,-4.136676614778267,3.523721600150506e-05,0.024640210575985772
ATP1A1,132.44526363062448,-1.0312816663718063,0.2504833588088215,-4.1171663909174905,3.835591602856452e-05,0.025144700201475828
MYL6B,22.69421044041261,1.6557215429362653,0.406724717678965,4.070865307584172,4.683882719218349e-05,0.028899556377577216
ADRB2,31.043860673626202,-1.2775530190925006,0.3165713828417526,-4.0355922497616366,5.4464734139259406e-05,0.03173781091037177
ACP5,91.24514159371043,1.3976065830349205,0.3554304196555031,3.9321524150620952,8.418865779323057e-05,0.036809177730773544
SLC25A4,37.597321766016556,-1.470171652575187,0.3738941617162899,-3.932052979449168,8.42234975248894e-05,0.036809177730773544
GLS,87.59761437213571,-1.6998282383177925,0.42856439080019215,-3.9663310223790775,7.29874780313377e-05,0.036809177730773544
USP18,40.296997003678776,1.5684841774800458,0.3981710833671421,3.939221713983162,8.174636058477046e-05,0.036809177730773544
ENDOD1,24.228169165144884,1.6380155044006979,0.4112815907118711,3.98271048690879,6.813373532497077e-05,0.036809177730773544
TUBB2A,82.92087669951759,-1.8875661475646432,0.4770119828232921,-3.9570623286918294,7.587713761402175e-05,0.036809177730773544
CA2,3.1366813143177694,-2.609627880332392,0.666162125806834,-3.9174065580082256,8.950672312402686e-05,0.037553440753916714
EIF4A3,134.30298344237877,-1.3905063039291885,0.357708504887073,-3.8872609539104057,0.00010138174666841553,0.03786602790418852
HAVCR2,83.81318696407477,2.2387375664930054,0.5770757168448778,3.8794520392109906,0.0001046920401584009,0.03786602790418852
SNAP47,46.72791979461373,1.4356613927309574,0.3699745811273832,3.8804325106774176,0.0001042708762853947,0.03786602790418852
TUBB4B,356.8041552254087,-1.6924654395101784,0.43336437542487843,-3.905409709441054,9.406587619152523e-05,0.03786602790418852
SHMT2,33.911583183665485,1.4559948020364324,0.38034521156758455,3.8280876365856726,0.00012914277668780297,0.04233058077119892
PLEKHA5,12.627271673579616,-1.5471412910090145,0.40306683212343497,-3.838423724567887,0.00012382666693933932,0.04233058077119892
EZR,528.8392143178299,-1.239702577681462,0.32322697420292856,-3.835393319937312,0.00012536351226388173,0.04233058077119892
LGALS9,28.557786027130632,1.457636071741978,0.38277302623569276,3.8080950637426514,0.00014004143954485097,0.044511959375331575
OAS1,68.45354317655736,1.6537784033014693,0.4361117742494341,3.7920975789926525,0.0001493801924742011,0.046083789378291044
LRRC8C,17.727475707860457,-1.6330157388383792,0.43351785305391194,-3.7668938599289903,0.00016529123111996223,0.04953542066335097
