,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CD55,40.84974965381613,-1.8969257655995702,0.31919039720094405,-5.94292867903972,2.799742697643979e-09,7.158942077875654e-06
PRF1,46.543885337019645,1.999414741936396,0.3528335840888521,5.666735912057891,1.4554339752159516e-08,1.598865060010874e-05
ELL2,13.826291837030869,-2.0387013345073406,0.36580506709304533,-5.573190526605749,2.5011577004472023e-08,1.598865060010874e-05
SGK1,8.488702161479182,-2.610898995316989,0.467695451593938,-5.582476772906102,2.3711728529938874e-08,1.598865060010874e-05
LMNA,83.39908822400749,-2.821358141467922,0.5540284432537979,-5.092442772248556,3.53479425649707e-07,0.00018076937827726013
EZR,97.14264294696773,-1.439422538479503,0.29707747959684644,-4.845276526624952,1.2643545426226996e-06,0.0005388257609143739
EIF4A3,26.83585897820152,-1.723377527960257,0.3917393247278551,-4.399296724058794,1.0860225028966052e-05,0.003543428416894503
GEM,20.496699097596544,-1.8998072286464243,0.4322827988707176,-4.394824947024085,1.1086205449806814e-05,0.003543428416894503
IKZF2,10.258029609511679,-2.2921352664576573,0.529591313534909,-4.3281209639904095,1.5038687139169571e-05,0.004272658112761844
PIK3R1,57.09415215280305,-1.0399959187881065,0.2443447168671851,-4.2562652146614735,2.0787010849240745e-05,0.005315238674150858
ZFAND2A,22.23188898622769,-2.3159991284114447,0.5492381337103586,-4.216748594577357,2.478500305513562e-05,0.005761386619271071
GZMA,136.85037586640914,2.438696066506448,0.5884586109180109,4.144210011137433,3.409871479146636e-05,0.00708727873221439
HSPA1A,790.3009692855853,-3.5172888112094904,0.8513239911573137,-4.131551380841493,3.6032312678446255e-05,0.00708727873221439
WARS,9.458061152197569,2.3327585499499506,0.5690339615395135,4.099506721248597,4.140316468911828e-05,0.007561992293576817
HSPA8,386.419228445152,-1.5553965069897244,0.3967487152873491,-3.9203567574584666,8.841797863456327e-05,0.014130298210536142
HSP90AB1,310.0114647073726,-1.7591487283901353,0.4480864599776328,-3.925913602651477,8.640116641216516e-05,0.014130298210536142
DNAJA1,227.54621623129597,-2.143358827621162,0.552939127299223,-3.8763016068155425,0.00010605620870040763,0.015952101508643665
CNOT6L,25.621906489449916,-1.490332358850382,0.385918732702191,-3.8617777074855137,0.00011256496434047168,0.015990478545477003
GPCPD1,15.9910224334749,-1.8666443427129094,0.4894398908241968,-3.81383777192651,0.00013682530271127535,0.01749311495163655
TUBB4B,70.71383987560017,-1.764874770079698,0.4625209226225325,-3.8157728304975045,0.00013575736021888474,0.01749311495163655
TUBB2A,10.928037650346234,-1.8670747350678025,0.5034918133399461,-3.708252419602296,0.0002086945692284995,0.025411048262727297
SETD2,12.522805570817887,-1.4159873662883566,0.38366901951329074,-3.6906481740032833,0.0002236833441344217,0.02599810504325983
OBFC1,10.183159952286983,1.7020018600373066,0.4715711679298114,3.6092152696889057,0.00030712467017162954,0.03204919995441446
MIR4435-2HG,9.295813531563507,2.0213755689744053,0.5577324495383273,3.6242746332002627,0.0002897735682696232,0.03204919995441446
HSP90AA1,839.6319420466784,-1.976806692521355,0.5485023380697658,-3.6040077777570363,0.00031334767260866696,0.03204919995441446
SOD2,14.739863525585855,-1.1577030002418083,0.32984980439759476,-3.509788348536763,0.0004484635121330259,0.036714120960505366
FOS,672.7168190387395,-1.7900348709669045,0.5178376332850042,-3.4567492895629632,0.0005467332505405528,0.036714120960505366
ZFAND5,31.821450457939815,-1.244697271538388,0.36123513856567235,-3.4456705305043367,0.0005696444186015674,0.036714120960505366
PLK3,15.873434583701043,-1.5208290069026809,0.44036071991180287,-3.4535982392055278,0.000553160787591848,0.036714120960505366
LSP1,95.00230090691868,0.9738906157250067,0.28020418030832533,3.475646275702871,0.000509623983837648,0.036714120960505366
FTH1,806.3397599186151,-1.1298072800242598,0.3224504502467491,-3.503816723343683,0.00045864089423155416,0.036714120960505366
FAM107B,20.415806349271985,-1.6685634390298247,0.4827544445346151,-3.456339880285003,0.0005475644161832235,0.036714120960505366
AP2M1,21.98731153443715,1.1537003502283858,0.3296932600259751,3.4993143327755347,0.0004664563349584637,0.036714120960505366
GRPEL1,11.661375321569851,-1.2030043477128156,0.34049682659924013,-3.5330853439310745,0.00041073985559995094,0.036714120960505366
LEF1,9.396624731503016,-1.7277649425626573,0.5017532423611927,-3.4434554611585475,0.0005743311843645736,0.036714120960505366
CCL5,792.3467156262069,0.8718000737237338,0.24608040998504566,3.542744722250395,0.0003959858206920056,0.036714120960505366
HSPD1,126.41472552586387,-1.80996590144677,0.5185116996315002,-3.4906944293312767,0.00048176692454218636,0.036714120960505366
PLK2,10.811937642424025,-2.136494681095042,0.6142198459385813,-3.4783875760808294,0.000504439986499903,0.036714120960505366
TMIGD2,16.883379331645287,2.1562636926228618,0.6218970886080392,3.4672355476838104,0.0005258408777527169,0.036714120960505366
CD247,53.04005579462719,1.1779993034982874,0.33884148158487737,3.4765498544876565,0.000507909789063198,0.036714120960505366
MYADM,57.76382919208378,-1.2357843649401024,0.3617428618913815,-3.416195577374418,0.00063502621211801,0.03736009330213537
ARID5B,25.13927274818604,-1.3974249961586849,0.40895837329850826,-3.417034806959856,0.0006330718505318845,0.03736009330213537
SOCS3,21.45378282874331,-1.5343805092563996,0.4495895828829714,-3.4128471113971526,0.0006428799786053798,0.03736009330213537
EIF4A2,64.94399359767654,-0.9962633055487576,0.29151909325843794,-3.417489037898279,0.0006320163923591985,0.03736009330213537
ANXA1,217.9588179548177,-1.5833962714210674,0.46605841816012583,-3.3974201725008917,0.000680244315310937,0.038652993650001466
UBB,257.70375058253006,-1.2448296392837377,0.36781802893105375,-3.384362759219388,0.0007134367532415815,0.039657777783450525
MCL1,135.26164155593673,-1.2354637912109891,0.3673553971345759,-3.363129549335008,0.0007706418987200991,0.04192619861760199
MKNK2,9.399306173299989,-1.5492386981570667,0.4687766216457281,-3.304854863960951,0.0009502559427623944,0.04764322442438123
CD44,79.50982133315792,-1.1351801074950099,0.34321372433696906,-3.3075020810662106,0.000941320124541513,0.04764322442438123
ARPC2,153.2571608382697,0.6764828889817772,0.2044124208759016,3.309402070985054,0.0009349546649659338,0.04764322442438123
GLS,14.256814028815525,-2.056078519268859,0.621299359478554,-3.309320197906675,0.0009352281367891329,0.04764322442438123
DEDD2,19.612089638544003,-1.7442157066089137,0.5303701616831329,-3.288676159823235,0.001006597699934973,0.0494009728106372
RP11-796E2.4,13.056229148029223,-1.1759043677822674,0.3580859245292024,-3.2838609038551327,0.0010239544618552098,0.0494009728106372
HSPH1,129.74815392896022,-2.384252768536813,0.7285676457586501,-3.272520791194501,0.0010659303250196493,0.0495560698377317
NEU1,54.57631332625868,-2.5020201493133207,0.7642779804190489,-3.273704350269883,0.0010614760798707608,0.0495560698377317
ATP5G1,16.748536029732108,1.0909162870517968,0.3338980637960088,3.2672135760520002,0.0010861170830027916,0.049592881807823896
